episode,success,near_miss,fail,first_pass_success,steps,time_s,capture_time_s,min_dist_m,init_px_m,init_py_m,init_pz_m,init_dist_m,init_bearing_rad
178,0,1,0,0,1251,25.04,nan,1.2003494501113892,162.7907257080078,-32.61420822143555,95.22041320800781,191.39340209960938,-0.19772668182849884
179,1,0,0,1,262,5.26,5.26,0.5866321921348572,164.051513671875,6.560419082641602,106.80888366699219,195.86749267578125,0.03996869549155235
180,1,0,0,0,270,5.42,5.42,0.06664863228797913,136.08148193359375,-28.257280349731445,107.7278060913086,175.8463134765625,-0.20474010705947876
181,0,1,0,0,1251,25.04,nan,1.2974509000778198,156.30877685546875,-32.781673431396484,100.179931640625,188.52874755859375,-0.20672766864299774
182,1,0,0,0,248,4.98,4.98,0.8102983832359314,128.81729125976562,-38.48611831665039,94.3057861328125,164.2213592529297,-0.29032352566719055
183,1,0,0,0,250,5.0200000000000005,5.0200000000000005,0.9034554362297058,155.45750427246094,8.48166275024414,80.0963134765625,175.08395385742188,0.054505325853824615
184,1,0,0,0,239,4.8,4.8,0.4507187306880951,122.68626403808594,-14.811389923095703,93.01707458496094,154.67214965820312,-0.1201443001627922
185,1,0,0,1,261,5.24,5.24,0.6086022257804871,127.03087615966797,-36.46271514892578,116.5091781616211,176.1838836669922,-0.27952322363853455
186,0,1,0,0,1251,25.04,nan,1.1784090995788574,168.28472900390625,-31.43854522705078,107.32208251953125,202.05484008789062,-0.18468862771987915
187,1,0,0,1,265,5.32,5.32,0.8830786347389221,176.972900390625,-27.41685676574707,114.70553588867188,212.66981506347656,-0.1536993682384491
188,1,0,0,0,257,5.16,5.16,0.7348453998565674,147.10470581054688,20.598329544067383,112.80191040039062,186.51637268066406,0.1391204297542572
189,0,1,0,0,1251,25.04,nan,1.000968337059021,149.79312133789062,14.33057975769043,88.81649017333984,174.73326110839844,0.09537886083126068
